السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,928,,,,,,,,,,
2025,3,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,187,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,5,,,,,,,,,,
2025,3,منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,36,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,5,,,,,,,,,,
2025,3,منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,2,,,,,,,,,,
2025,3,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,11,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,1,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,16,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,3,,,,,,,,,,
2025,3,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,1,,,,,,,,,,
2025,3,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,2,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,9,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,49,,,,,,,,,,
2025,3,منطقة الباحة,إصلاح وتركيب الآلات والمعدات,صغيرة,1,,,,,,,,,,
2025,3,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,صغيرة,181,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,صغيرة,27,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,صغيرة,13,,,,,,,,,,
2025,3,منطقة جازان,إصلاح وتركيب الآلات والمعدات,صغيرة,3,,,,,,,,,,
2025,3,منطقة حائل,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,3,منطقة عسير,إصلاح وتركيب الآلات والمعدات,صغيرة,6,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,صغيرة,58,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,17,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,صغيرة,192,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,صغيرة,8,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,3,منطقة عسير,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,صغيرة,18,,,,,,,,,,
2025,3,منطقة نجران,إصلاح وتركيب الآلات والمعدات,صغيرة,1,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,كبيرة,2,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,كبيرة,3,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,كبيرة,1,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,655,,,,,,,,,,
2025,3,منطقة الباحة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,43,,,,,,,,,,
2025,3,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,66,,,,,,,,,,
2025,3,منطقة الحدود الشمالية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,51,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1998,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,639,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,246,,,,,,,,,,
2025,3,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,135,,,,,,,,,,
2025,3,منطقة جازان,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,295,,,,,,,,,,
2025,3,منطقة حائل,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,65,,,,,,,,,,
2025,3,منطقة عسير,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,185,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,825,,,,,,,,,,
2025,3,منطقة نجران,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,79,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,37,,,,,,,,,,
2025,3,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,454,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,24,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة حائل,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,3,,,,,,,,,,
2025,3,منطقة عسير,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,18,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متوسطة,3,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متوسطة,2,,,,,,,,,,
2025,3,منطقة عسير,إصلاح وتركيب الآلات والمعدات,متوسطة,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متوسطة,1,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متوسطة,7,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متوسطة,11,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متوسطة,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متوسطة,8,,,,,,,,,,
2025,3,المنطقة الشرقية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,5,,,,,,,,,,
2025,3,منطقة الحدود الشمالية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,1,,,,,,,,,,
2025,3,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,12,,,,,,,,,,
2025,3,منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,1,,,,,,,,,,
2025,3,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,9,,,,,,,,,,
2025,3,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,6,,,,,,,,,,
2025,3,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,3,,,,,,,,,,
2025,3,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,كبيرة,1,,,,,,,,,,
2025,3,المنطقة الشرقية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,21,,,,,,,,,,
2025,3,منطقة الباحة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة الجوف,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,3,,,,,,,,,,
2025,3,منطقة الحدود الشمالية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,3,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,107,,,,,,,,,,
2025,3,منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,3,,,,,,,,,,
2025,3,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,14,,,,,,,,,,
2025,3,منطقة تبوك,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,8,,,,,,,,,,
2025,3,منطقة جازان,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,7,,,,,,,,,,
2025,3,منطقة حائل,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,3,,,,,,,,,,
2025,3,منطقة عسير,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,5,,,,,,,,,,
2025,3,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,81,,,,,,,,,,
2025,3,منطقة نجران,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,2,,,,,,,,,,
