السنة,الربع,المنطقة ,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,4,منطقة جازان,إصلاح وتركيب الآلات والمعدات,صغيرة,5,,,,,,,,,,
2025,4,منطقة حائل,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,4,منطقة عسير,إصلاح وتركيب الآلات والمعدات,صغيرة,4,,,,,,,,,,
2025,4,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,صغيرة,56,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,17,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,صغيرة,198,,,,,,,,,,
2025,4,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,صغيرة,8,,,,,,,,,,
2025,4,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,4,منطقة عسير,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,4,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,صغيرة,18,,,,,,,,,,
2025,4,منطقة نجران,إصلاح وتركيب الآلات والمعدات,صغيرة,1,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,كبيرة,2,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,كبيرة,2,,,,,,,,,,
2025,4,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,كبيرة,1,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,652,,,,,,,,,,
2025,4,منطقة الباحة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,43,,,,,,,,,,
2025,4,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,61,,,,,,,,,,
2025,4,منطقة الحدود الشمالية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,49,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,3869,,,,,,,,,,
2025,4,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,628,,,,,,,,,,
2025,4,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,250,,,,,,,,,,
2025,4,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,132,,,,,,,,,,
2025,4,منطقة جازان,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,290,,,,,,,,,,
2025,4,منطقة حائل,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,69,,,,,,,,,,
2025,4,منطقة عسير,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,183,,,,,,,,,,
2025,4,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,825,,,,,,,,,,
2025,4,منطقة نجران,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,80,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,37,,,,,,,,,,
2025,4,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,538,,,,,,,,,,
2025,4,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,38,,,,,,,,,,
2025,4,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة حائل,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,3,,,,,,,,,,
