السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,كبيرة,1,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,كبيرة,1,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة الأمن والتحقيقات,كبيرة,1,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متناهية الصغر,5,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة الأمن والتحقيقات,متناهية الصغر,17,,,,,,,,,,
2025,1,منطقة القصيم,أنشطة الأمن والتحقيقات,متناهية الصغر,5,,,,,,,,,,
2025,1,منطقة المدينة المنورة,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة تبوك,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة جازان,أنشطة الأمن والتحقيقات,متناهية الصغر,2,,,,,,,,,,
2025,1,منطقة حائل,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,متناهية الصغر,8,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة الأمن والتحقيقات,متناهية الصغر,4,,,,,,,,,,
2025,1,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,متناهية الصغر,2,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متوسطة,2,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الاستخدام,صغيرة,15,,,,,,,,,,
2025,1,منطقة الجوف,أنشطة الاستخدام,صغيرة,3,,,,,,,,,,
2025,1,منطقة الحدود الشمالية,أنشطة الاستخدام,صغيرة,3,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة الاستخدام,صغيرة,29,,,,,,,,,,
2025,1,منطقة القصيم,أنشطة الاستخدام,صغيرة,5,,,,,,,,,,
2025,1,منطقة المدينة المنورة,أنشطة الاستخدام,صغيرة,2,,,,,,,,,,
2025,1,منطقة تبوك,أنشطة الاستخدام,صغيرة,1,,,,,,,,,,
2025,1,منطقة جازان,أنشطة الاستخدام,صغيرة,2,,,,,,,,,,
2025,1,منطقة حائل,أنشطة الاستخدام,صغيرة,4,,,,,,,,,,
2025,1,منطقة عسير,أنشطة الاستخدام,صغيرة,2,,,,,,,,,,
