السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,3,,,,,,,,,,
2025,2,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,9,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,2,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,18,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,3,,,,,,,,,,
2025,2,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,1,,,,,,,,,,
2025,2,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,2,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,9,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,59,,,,,,,,,,
2025,2,منطقة الباحة,إصلاح وتركيب الآلات والمعدات,صغيرة,1,,,,,,,,,,
2025,2,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,صغيرة,3,,,,,,,,,,
2025,2,منطقة الحدود الشمالية,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,صغيرة,178,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,صغيرة,29,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,صغيرة,14,,,,,,,,,,
2025,2,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,2,منطقة جازان,إصلاح وتركيب الآلات والمعدات,صغيرة,3,,,,,,,,,,
2025,2,منطقة حائل,إصلاح وتركيب الآلات والمعدات,صغيرة,3,,,,,,,,,,
2025,2,منطقة عسير,إصلاح وتركيب الآلات والمعدات,صغيرة,6,,,,,,,,,,
